year,inflation_rate
1960,0.0146
1961,0.0107
1962,0.012
1963,0.0124
1964,0.0128
1965,0.0159
1966,0.0302
1967,0.0277
1968,0.0427
1969,0.0546
1970,0.0584
1971,0.0429
1972,0.0327
1973,0.0618
1974,0.1105
1975,0.0914
1976,0.0574
1977,0.065
1978,0.0763
1979,0.1125
1980,0.1355
1981,0.1033
1982,0.0613
1983,0.0321
1984,0.043
1985,0.0355
1986,0.019
1987,0.0366
1988,0.0408
1989,0.0483
1990,0.054
1991,0.0424
1992,0.0303
1993,0.0295
1994,0.0261
1995,0.0281
1996,0.0293
1997,0.0234
1998,0.0155
1999,0.0219
2000,0.0338
2001,0.0283
2002,0.0159
2003,0.0227
2004,0.0268
2005,0.0339
2006,0.0323
2007,0.0285
2008,0.0384
2009,-0.0036
2010,0.0164
2011,0.0316
2012,0.0207
2013,0.0146
2014,0.0162
2015,0.0012
2016,0.0126
2017,0.0213
2018,0.0244
2019,0.0181
2020,0.0123
